original_name,german_translation,meaning
Sphere Space Living,Sphärenraum Leben,"Ein Name, der auf 'Leben' im Sphärenraum hinweist."
Sphere Space Yard,Sphärenraum Hof,"Ein Name, der auf 'Hof' im Sphärenraum hinweist."
Sphere Space City,Sphärenraum Stadt,"Ein Name, der auf 'Stadt' im Sphärenraum hinweist."
Sphere Space Cities,Sphärenraum Städte,"Ein Name, der auf 'Städte' im Sphärenraum hinweist."
Spehre Space Home,Sphärenraum Heim,"Ein Name, der auf 'Heim' im Sphärenraum hinweist."
Sphere Space Homes,Sphärenraum Häuser,"Ein Name, der auf 'Häuser' im Sphärenraum hinweist."
Sphere Space Shipyard,Sphärenraum Werft,"Ein Name, der auf 'Werft' im Sphärenraum hinweist."
Sphere Space Wood,Sphärenraum Holz,"Ein Name, der auf 'Holz' im Sphärenraum hinweist."
Sphere Space Reality,Sphärenraum Wirklichkeit,"Ein Name, der auf 'Wirklichkeit' im Sphärenraum hinweist."
Sphere Space Project,Sphärenraum Projekt,"Ein Name, der auf 'Projekt' im Sphärenraum hinweist."
Sphere Space Civil,Sphärenraum Bürgerlich,"Ein Name, der auf 'Bürgerlich' im Sphärenraum hinweist."
Sphere Space Civilisation,Sphärenraum Zivilisation,"Ein Name, der auf 'Zivilisation' im Sphärenraum hinweist."
Sphere Space Civics,Sphärenraum Staatsbürgerkunde,"Ein Name, der auf 'Staatsbürgerkunde' im Sphärenraum hinweist."
Sphere Space Land,Sphärenraum Land,"Ein Name, der auf 'Land' im Sphärenraum hinweist."
Sphere Space Life,Sphärenraum Leben,"Ein Name, der auf 'Leben' im Sphärenraum hinweist."
Sphere Space Blue Charters,Sphärenraum Blaue Charters,"Ein Name, der auf 'Blaue Charters' im Sphärenraum hinweist."
Sphere Space Hubs Trust,Sphärenraum Hubs Trust,"Ein Name, der auf 'Hubs Trust' im Sphärenraum hinweist."
Sphere Space Quiet Nursery,Sphärenraum Ruhiger Kindergarten,"Ein Name, der auf 'Ruhiger Kindergarten' im Sphärenraum hinweist."
Sphere Space Markets Alliance,Sphärenraum Vermarktet Allianz,"Ein Name, der auf 'Vermarktet Allianz' im Sphärenraum hinweist."
Sphere Space Pioneer Bridge,Sphärenraum Pionierbrücke,"Ein Name, der auf 'Pionierbrücke' im Sphärenraum hinweist."
Sphere Space True Initiative,Sphärenraum Wahre Initiative,"Ein Name, der auf 'Wahre Initiative' im Sphärenraum hinweist."
Sphere Space Free Garden,Sphärenraum Freier Garten,"Ein Name, der auf 'Freier Garten' im Sphärenraum hinweist."
Sphere Space Deep Factories,Sphärenraum Tiefe Fabriken,"Ein Name, der auf 'Tiefe Fabriken' im Sphärenraum hinweist."
Sphere Space Free Concourse,Sphärenraum Freie Halle,"Ein Name, der auf 'Freie Halle' im Sphärenraum hinweist."
Sphere Space Silver Voyages,Sphärenraum Silberne Reisen,"Ein Name, der auf 'Silberne Reisen' im Sphärenraum hinweist."
Sphere Space Courts Council,Sphärenraum Gerichte Rat,"Ein Name, der auf 'Gerichte Rat' im Sphärenraum hinweist."
Sphere Space Interorbital Registry,Sphärenraum Interorbitales Register,"Ein Name, der auf 'Interorbitales Register' im Sphärenraum hinweist."
Sphere Space Playbooks Trust,Sphärenraum Playbooks Trust,"Ein Name, der auf 'Playbooks Trust' im Sphärenraum hinweist."
Sphere Space Orbital Dome,Sphärenraum Orbital Kuppel,"Ein Name, der auf 'Orbital Kuppel' im Sphärenraum hinweist."
Sphere Space Quiet Odyssey,Sphärenraum Ruhige Odyssee,"Ein Name, der auf 'Ruhige Odyssee' im Sphärenraum hinweist."
Sphere Space Universal Avenues,Sphärenraum Universelle Möglichkeiten,"Ein Name, der auf 'Universelle Möglichkeiten' im Sphärenraum hinweist."
Sphere Space Boulevard Council,Sphärenraum Boulevard Council,"Ein Name, der auf 'Boulevard Council' im Sphärenraum hinweist."
Sphere Space Earthborn Basecamp,Sphärenraum Earthborn Basecamp,"Ein Name, der auf 'Earthborn Basecamp' im Sphärenraum hinweist."
Sphere Space Deep Fellowship,Sphärenraum Tiefe Gemeinschaft,"Ein Name, der auf 'Tiefe Gemeinschaft' im Sphärenraum hinweist."
Sphere Space Next Biospheres,Sphärenraum Nächste Biosphären,"Ein Name, der auf 'Nächste Biosphären' im Sphärenraum hinweist."
Sphere Space Charter Trust,Sphärenraum Charter Trust,"Ein Name, der auf 'Charter Trust' im Sphärenraum hinweist."
Sphere Space Secure Forge,Sphärenraum Sichere Schmiede,"Ein Name, der auf 'Sichere Schmiede' im Sphärenraum hinweist."
Sphere Space Interorbital Orbit,Sphärenraum Interorbitale Umlaufbahn,"Ein Name, der auf 'Interorbitale Umlaufbahn' im Sphärenraum hinweist."
Sphere Space Stellar Jetty,Sphärenraum Stellarer Steg,"Ein Name, der auf 'Stellarer Steg' im Sphärenraum hinweist."
Sphere Space Forum Trust,Sphärenraum Forum Trust,"Ein Name, der auf 'Forum Trust' im Sphärenraum hinweist."
Sphere Space Earthborn Sun,Sphärenraum Erdegeborene Sonne,"Ein Name, der auf 'Erdegeborene Sonne' im Sphärenraum hinweist."
Sphere Space Bright Sanctuary,Sphärenraum Helles Heiligtum,"Ein Name, der auf 'Helles Heiligtum' im Sphärenraum hinweist."
Sphere Space Universal Gateways,Sphärenraum Universelle Tore,"Ein Name, der auf 'Universelle Tore' im Sphärenraum hinweist."
Sphere Space Pure Quays,Sphärenraum Reine Fader,"Ein Name, der auf 'Reine Fader' im Sphärenraum hinweist."
Sphere Space Secure Arrays,Sphärenraum Sichere Arrays,"Ein Name, der auf 'Sichere Arrays' im Sphärenraum hinweist."
Sphere Space Earthborn Jetty,Sphärenraum Earthborn Stegy,"Ein Name, der auf 'Earthborn Stegy' im Sphärenraum hinweist."
Sphere Space Paths Commons,Sphärenraum Pfade Commons,"Ein Name, der auf 'Pfade Commons' im Sphärenraum hinweist."
Sphere Space Harbour Alliance,Sphärenraum Harbor Alliance,"Ein Name, der auf 'Harbor Alliance' im Sphärenraum hinweist."
Sphere Space Harmonic Archive,Sphärenraum Harmonisches Archiv,"Ein Name, der auf 'Harmonisches Archiv' im Sphärenraum hinweist."
Sphere Space Orbital Legacy,Sphärenraum Orbital Vermächtnis,"Ein Name, der auf 'Orbital Vermächtnis' im Sphärenraum hinweist."
Sphere Space True Arcs,Sphärenraum Wahre Bögen,"Ein Name, der auf 'Wahre Bögen' im Sphärenraum hinweist."
Sphere Space Grids Initiative,Sphärenraum Gitterinitiative,"Ein Name, der auf 'Gitterinitiative' im Sphärenraum hinweist."
Sphere Space Pure Grid,Sphärenraum Reines Netz,"Ein Name, der auf 'Reines Netz' im Sphärenraum hinweist."
Sphere Space Earthborn Jetties,Sphärenraum Erdengeborene Wagen,"Ein Name, der auf 'Erdengeborene Wagen' im Sphärenraum hinweist."
Sphere Space Blue Orbit,Sphärenraum Blaue Umlaufbahn,"Ein Name, der auf 'Blaue Umlaufbahn' im Sphärenraum hinweist."
Sphere Space Civil Suns,Sphärenraum Zivilsonnen,"Ein Name, der auf 'Zivilsonnen' im Sphärenraum hinweist."
Sphere Space Secure Hospital,Sphärenraum Sicheres Krankenhaus,"Ein Name, der auf 'Sicheres Krankenhaus' im Sphärenraum hinweist."
Sphere Space Human Field,Sphärenraum Menschliches Feld,"Ein Name, der auf 'Menschliches Feld' im Sphärenraum hinweist."
Sphere Space Calm Aurora,Sphärenraum Beruhige Aurora,"Ein Name, der auf 'Beruhige Aurora' im Sphärenraum hinweist."
Sphere Space Common Halls,Sphärenraum Gemeinschaftshallen,"Ein Name, der auf 'Gemeinschaftshallen' im Sphärenraum hinweist."
Sphere Space Steady Terrace,Sphärenraum Stetige Terrasse,"Ein Name, der auf 'Stetige Terrasse' im Sphärenraum hinweist."
Sphere Space Arcades Alliance,Sphärenraum Arcades Alliance,"Ein Name, der auf 'Arcades Alliance' im Sphärenraum hinweist."
Sphere Space Resilient Nexuses,Sphärenraum Belastbare Nexus,"Ein Name, der auf 'Belastbare Nexus' im Sphärenraum hinweist."
Sphere Space Belt,Sphärenraum Gürtel,"Ein Name, der auf 'Gürtel' im Sphärenraum hinweist."
Sphere Space Laboratory Foundation,Sphärenraum Laborstiftung,"Ein Name, der auf 'Laborstiftung' im Sphärenraum hinweist."
Sphere Space Frontier Shipyards,Sphärenraum Frontier -Werften,"Ein Name, der auf 'Frontier -Werften' im Sphärenraum hinweist."
