Deck Dimensions of a Sphere
,Deck,Inner Radius (m),Outer Radius (m),Outer Radius netto (m),Ceiling Thickness (m),Deck Height (m),Deck Height netto (m),Length at Inner Radius (m),Length at Outer Radius (m),Length at Outer Radius netto (m),Base Area at Inner Radius (m²),Base Area at Outer Radius (m²),Effective Volume (m³),Net Room Volume (m³),Rotation Velocity @ radius netto (m/s),Centrifugal Acceleration @ radius netto (m/s²)
0,Deck 000,0.0,10.5,10.0,0.5,10.5,10.0,126.0,124.23767544509194,124.4025723206719,0.0,8196.387538024852,43336.23446098654,39332.961785177235,5.0,2.5
1,Deck 001,10.5,14.0,13.5,0.5,3.5,3.0,124.23767544509194,122.84950142348971,123.07314898059609,8196.387538024852,10806.406552737715,33281.60125734703,27970.053313303983,6.75,3.375
2,Deck 002,14.0,17.5,17.0,0.5,3.5,3.0,122.84950142348971,121.04131526053408,121.32600710482481,10806.406552737715,13309.187738116898,42237.0835882365,35669.8412682973,8.5,4.25
3,Deck 003,17.5,21.0,20.5,0.5,3.5,3.0,121.04131526053408,118.79393923933998,119.14277149705725,13309.187738116898,15674.491005822716,50764.68238438229,43009.36757626864,10.25,5.125
4,Deck 004,21.0,24.5,24.0,0.5,3.5,3.0,118.79393923933998,116.081867662439,116.49892703368559,15674.491005822716,17869.415190501742,58754.022216437574,49894.59856013859,12.0,6.0
5,Deck 005,24.5,28.0,27.5,0.5,3.5,3.0,116.081867662439,112.8716084761797,113.36225121265015,17869.415190501742,19857.410495307256,66083.71757605422,56222.27456271953,13.75,6.875
6,Deck 006,28.0,31.5,31.0,0.5,3.5,3.0,112.8716084761797,109.11920087683927,109.6904736064167,19857.410495307256,21596.909029936833,72617.26395307976,61876.469173533354,15.5,7.75
7,Deck 007,31.5,35.0,34.5,0.5,3.5,3.0,109.11920087683927,104.76640682967036,105.42770034483347,21596.909029936833,23039.336182736435,78197.18669521042,66723.7051268488,17.25,8.625
8,Deck 008,35.0,38.5,38.0,0.5,3.5,3.0,104.76640682967036,99.73464794142505,100.4987562112089,23039.336182736435,24126.074070648192,82636.29033106552,70605.67481883471,19.0,9.5
9,Deck 009,38.5,42.0,41.5,0.5,3.5,3.0,99.73464794142505,93.91485505499116,94.79978902930111,24126.074070648192,24783.546371111683,85703.82171186656,73327.77445022107,20.75,10.375
10,Deck 010,42.0,45.5,45.0,0.5,3.5,3.0,93.91485505499116,87.14929718592113,88.18163074019441,24783.546371111683,24914.670854237113,87102.06473411617,74639.79944953146,22.5,11.25
11,Deck 011,45.5,49.0,48.5,0.5,3.5,3.0,87.14929718592113,79.19595949289332,80.41765975207187,24914.670854237113,24382.54156461311,86423.16188500405,74200.53815270305,24.25,12.125
12,Deck 012,49.0,52.5,52.0,0.5,3.5,3.0,79.19595949289332,69.6491205974634,71.13367697511495,24382.54156461311,22974.962387787957,83059.33462520252,71504.71208212522,26.0,13.0
13,Deck 013,52.5,56.0,55.5,0.5,3.5,3.0,69.6491205974634,57.723478758647246,59.62382074305537,22974.962387787957,20310.489562475017,75979.01715429996,65702.69173812591,27.75,13.875
14,Deck 014,56.0,59.5,59.0,0.5,3.5,3.0,57.723478758647246,41.41255848169731,44.181444068749045,20310.489562475017,15482.065349602495,62950.829983442265,54984.62335392885,29.5,14.75
15,Deck 015,59.5,63.0,62.5,0.5,3.5,3.0,41.41255848169731,0.0,15.84297951775486,15482.065349602495,0.0,27890.48537244566,26328.882971939154,31.25,15.625
Total Volume: 852661.0065985196 m³
